invoice_id,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,VAT,Total,Date,time,Payment_method,COGS,Gross_margin_percentage,Gross_income,Rating,WEEKDAY,Month_
150-89-8043,A,Abuja,Normal,Male,"Sports and travel",44.65,3,6.70,140.65,2019-02-14,15:04:00,Cash,133.95,4.76,6.70,6.20,Thursday,February
151-16-1484,A,Abuja,Member,Male,"Electronic accessories",32.25,4,6.45,135.45,2019-02-13,12:38:00,Ewallet,129.00,4.76,6.45,6.50,Wednesday,February
151-27-8496,C,Kano,Normal,Female,"Electronic accessories",56.13,4,11.23,235.75,2019-01-19,11:43:00,Ewallet,224.52,4.76,11.23,8.60,Saturday,January
153-58-4872,C,Kano,Member,Female,"Food and beverages",74.89,4,14.98,314.54,2019-03-01,15:32:00,Ewallet,299.56,4.76,14.98,4.20,Friday,March
154-74-7179,B,Lagos,Normal,Male,"Sports and travel",54.45,1,2.72,57.17,2019-02-26,19:24:00,Ewallet,54.45,4.76,2.72,7.90,Tuesday,February
154-87-7367,C,Kano,Normal,Male,"Home and lifestyle",65.26,8,26.10,548.18,2019-03-15,14:04:00,Ewallet,522.08,4.76,26.10,6.30,Friday,March
155-45-3814,C,Kano,Member,Female,"Electronic accessories",88.55,8,35.42,743.82,2019-03-19,15:29:00,Ewallet,708.40,4.76,35.42,4.70,Tuesday,March
156-95-3964,A,Abuja,Normal,Female,"Food and beverages",55.39,4,11.08,232.64,2019-03-25,15:19:00,Ewallet,221.56,4.76,11.08,8.00,Monday,March
157-13-5295,A,Abuja,Member,Male,"Health and beauty",51.94,10,25.97,545.37,2019-03-09,18:24:00,Ewallet,519.40,4.76,25.97,6.50,Saturday,March
160-22-2687,A,Abuja,Member,Female,"Health and beauty",95.95,5,23.99,503.74,2019-01-23,14:21:00,Ewallet,479.75,4.76,23.99,8.80,Wednesday,January
162-48-8011,A,Abuja,Member,Female,"Food and beverages",44.59,5,11.15,234.10,2019-02-10,15:10:00,Cash,222.95,4.76,11.15,8.50,Sunday,February
162-65-8559,C,Kano,Member,Male,"Food and beverages",68.98,1,3.45,72.43,2019-01-21,20:13:00,Cash,68.98,4.76,3.45,4.80,Monday,January
163-56-7055,C,Kano,Member,Male,"Fashion accessories",48.71,1,2.44,51.15,2019-03-26,19:20:00,Cash,48.71,4.76,2.44,4.10,Tuesday,March
166-19-2553,A,Abuja,Member,Male,"Sports and travel",89.06,6,26.72,561.08,2019-01-18,17:26:00,Cash,534.36,4.76,26.72,9.90,Friday,January
173-57-2300,C,Kano,Member,Male,"Sports and travel",72.88,2,7.29,153.05,2019-03-13,12:51:00,Cash,145.76,4.76,7.29,6.10,Wednesday,March
173-82-9529,B,Lagos,Normal,Female,"Fashion accessories",37.95,10,18.98,398.48,2019-01-26,14:51:00,Cash,379.50,4.76,18.98,9.70,Saturday,January
174-36-3675,C,Kano,Member,Male,"Food and beverages",99.37,2,9.94,208.68,2019-02-14,17:29:00,Cash,198.74,4.76,9.94,5.20,Thursday,February
174-75-0888,B,Lagos,Normal,Male,"Electronic accessories",21.58,9,9.71,203.93,2019-03-14,12:32:00,Cash,194.22,4.76,9.71,7.30,Thursday,March
176-78-1170,C,Kano,Member,Male,"Health and beauty",33.81,3,5.07,106.50,2019-01-26,15:11:00,Ewallet,101.43,4.76,5.07,7.30,Saturday,January
181-82-6255,B,Lagos,Normal,Female,"Home and lifestyle",16.37,6,4.91,103.13,2019-02-08,10:58:00,Cash,98.22,4.76,4.91,7.00,Friday,February
181-94-6432,C,Kano,Member,Male,"Fashion accessories",69.33,2,6.93,145.59,2019-02-05,19:05:00,Ewallet,138.66,4.76,6.93,9.70,Tuesday,February
182-52-7000,A,Abuja,Member,Female,"Sports and travel",27.04,4,5.41,113.57,2019-01-01,20:26:00,Ewallet,108.16,4.76,5.41,6.90,Tuesday,January
183-21-3799,C,Kano,Normal,Female,"Electronic accessories",77.63,9,34.93,733.60,2019-02-19,15:14:00,Ewallet,698.67,4.76,34.93,7.20,Tuesday,February
183-56-6882,C,Kano,Member,Female,"Food and beverages",99.42,4,19.88,417.56,2019-02-06,10:42:00,Ewallet,397.68,4.76,19.88,7.50,Wednesday,February
186-09-3669,C,Kano,Member,Female,"Health and beauty",81.51,1,4.08,85.59,2019-01-22,10:57:00,Ewallet,81.51,4.76,4.08,9.20,Tuesday,January
186-71-5196,A,Abuja,Member,Female,"Food and beverages",79.54,2,7.95,167.03,2019-03-27,16:30:00,Ewallet,159.08,4.76,7.95,6.20,Wednesday,March
186-79-9562,B,Lagos,Normal,Male,"Health and beauty",71.77,7,25.12,527.51,2019-03-29,14:06:00,Cash,502.39,4.76,25.12,8.90,Friday,March
187-83-5490,A,Abuja,Member,Male,"Electronic accessories",20.77,4,4.15,87.23,2019-01-31,13:47:00,Cash,83.08,4.76,4.15,4.70,Thursday,January
189-40-5216,C,Kano,Normal,Male,"Electronic accessories",96.37,7,33.73,708.32,2019-01-09,11:40:00,Cash,674.59,4.76,33.73,6.00,Wednesday,January
189-52-0236,A,Abuja,Normal,Male,"Electronic accessories",99.55,7,34.84,731.69,2019-03-14,12:07:00,Cash,696.85,4.76,34.84,7.60,Thursday,March
189-55-2313,C,Kano,Normal,Female,"Fashion accessories",62.18,10,31.09,652.89,2019-01-31,10:33:00,Ewallet,621.80,4.76,31.09,6.00,Thursday,January
189-98-2939,C,Kano,Normal,Male,"Fashion accessories",78.55,9,35.35,742.30,2019-03-01,13:22:00,Cash,706.95,4.76,35.35,7.20,Friday,March
190-14-3147,B,Lagos,Normal,Female,"Health and beauty",17.97,4,3.59,75.47,2019-02-23,20:43:00,Ewallet,71.88,4.76,3.59,6.40,Saturday,February
191-10-6171,B,Lagos,Normal,Female,"Fashion accessories",39.62,7,13.87,291.21,2019-01-25,13:18:00,Cash,277.34,4.76,13.87,7.50,Friday,January
192-98-7397,C,Kano,Normal,Male,"Fashion accessories",12.78,1,0.64,13.42,2019-01-08,14:11:00,Ewallet,12.78,4.76,0.64,9.50,Tuesday,January
196-01-2849,C,Kano,Member,Female,"Fashion accessories",73.38,7,25.68,539.34,2019-02-10,13:56:00,Cash,513.66,4.76,25.68,9.50,Sunday,February
197-77-7132,B,Lagos,Member,Male,"Electronic accessories",91.56,8,36.62,769.10,2019-01-12,18:22:00,Ewallet,732.48,4.76,36.62,6.00,Saturday,January
198-66-9832,B,Lagos,Member,Female,"Fashion accessories",72.04,2,7.20,151.28,2019-02-04,19:38:00,Cash,144.08,4.76,7.20,9.50,Monday,February
198-84-7132,B,Lagos,Member,Male,"Fashion accessories",40.61,9,18.27,383.76,2019-01-02,13:40:00,Cash,365.49,4.76,18.27,7.00,Wednesday,January
200-16-5952,C,Kano,Member,Male,"Food and beverages",65.65,2,6.57,137.87,2019-01-17,16:46:00,Cash,131.30,4.76,6.57,6.00,Thursday,January
200-40-6154,B,Lagos,Member,Male,"Home and lifestyle",65.91,6,19.77,415.23,2019-02-09,11:45:00,Cash,395.46,4.76,19.77,5.70,Saturday,February
201-63-8275,C,Kano,Member,Female,"Sports and travel",67.99,7,23.80,499.73,2019-02-17,16:50:00,Ewallet,475.93,4.76,23.80,5.70,Sunday,February
201-86-2184,B,Lagos,Member,Female,"Electronic accessories",26.26,7,9.19,193.01,2019-02-02,19:40:00,Cash,183.82,4.76,9.19,9.90,Saturday,February
207-73-1363,B,Lagos,Normal,Male,"Health and beauty",69.51,2,6.95,145.97,2019-03-01,12:15:00,Ewallet,139.02,4.76,6.95,8.10,Friday,March
209-61-0206,A,Abuja,Normal,Female,"Home and lifestyle",42.91,5,10.73,225.28,2019-01-05,17:29:00,Ewallet,214.55,4.76,10.73,6.10,Saturday,January
210-30-7976,B,Lagos,Member,Female,"Fashion accessories",22.32,4,4.46,93.74,2019-03-14,11:16:00,Ewallet,89.28,4.76,4.46,4.10,Thursday,March
210-57-1719,B,Lagos,Normal,Female,"Health and beauty",58.24,9,26.21,550.37,2019-02-05,12:34:00,Cash,524.16,4.76,26.21,9.70,Tuesday,February
210-74-9613,C,Kano,Normal,Male,"Fashion accessories",97.26,4,19.45,408.49,2019-03-16,15:33:00,Ewallet,389.04,4.76,19.45,6.80,Saturday,March
211-05-0490,C,Kano,Member,Female,"Electronic accessories",51.92,5,12.98,272.58,2019-03-03,13:42:00,Cash,259.60,4.76,12.98,7.50,Sunday,March
212-62-1842,A,Abuja,Normal,Male,"Food and beverages",58.26,6,17.48,367.04,2019-03-28,16:44:00,Cash,349.56,4.76,17.48,9.90,Thursday,March
213-32-1216,A,Abuja,Normal,Female,"Electronic accessories",66.06,6,19.82,416.18,2019-01-23,10:28:00,Cash,396.36,4.76,19.82,7.30,Wednesday,January
213-72-6612,A,Abuja,Normal,Male,"Food and beverages",43.25,2,4.33,90.83,2019-03-20,15:56:00,Cash,86.50,4.76,4.33,6.20,Wednesday,March
214-17-6927,C,Kano,Normal,Female,"Food and beverages",16.48,6,4.94,103.82,2019-02-07,18:23:00,Ewallet,98.88,4.76,4.94,9.90,Thursday,February
217-58-1179,A,Abuja,Member,Male,"Home and lifestyle",62.65,4,12.53,263.13,2019-01-05,11:25:00,Cash,250.60,4.76,12.53,4.20,Saturday,January
218-59-9410,A,Abuja,Member,Female,"Home and lifestyle",72.42,3,10.86,228.12,2019-03-29,16:54:00,Ewallet,217.26,4.76,10.86,8.20,Friday,March
219-61-4139,C,Kano,Normal,Male,"Electronic accessories",83.08,1,4.15,87.23,2019-01-23,17:16:00,Ewallet,83.08,4.76,4.15,6.40,Wednesday,January
220-28-1851,A,Abuja,Normal,Male,"Home and lifestyle",34.73,2,3.47,72.93,2019-03-01,18:14:00,Ewallet,69.46,4.76,3.47,9.70,Friday,March
220-68-6701,A,Abuja,Normal,Female,"Home and lifestyle",77.47,4,15.49,325.37,2019-03-17,16:36:00,Cash,309.88,4.76,15.49,4.20,Sunday,March
221-25-5073,A,Abuja,Normal,Female,"Food and beverages",74.66,4,14.93,313.57,2019-03-04,10:39:00,Cash,298.64,4.76,14.93,8.50,Monday,March
225-32-0908,C,Kano,Normal,Female,"Sports and travel",44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.60,4.76,22.43,8.20,Saturday,January
226-31-3081,C,Kano,Normal,Female,"Electronic accessories",15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.40,4.76,3.82,9.60,Friday,March
226-34-0034,B,Lagos,Normal,Female,"Electronic accessories",13.78,4,2.76,57.88,2019-01-10,11:10:00,Ewallet,55.12,4.76,2.76,9.00,Thursday,January
226-71-3580,C,Kano,Normal,Female,"Sports and travel",23.75,9,10.69,224.44,2019-01-31,12:02:00,Cash,213.75,4.76,10.69,9.50,Thursday,January
227-07-4446,C,Kano,Member,Female,"Electronic accessories",78.13,10,39.07,820.37,2019-02-10,20:51:00,Cash,781.30,4.76,39.07,4.40,Sunday,February
227-50-3718,A,Abuja,Normal,Male,"Health and beauty",14.62,5,3.66,76.76,2019-03-04,12:23:00,Cash,73.10,4.76,3.66,4.40,Monday,March
227-78-1148,B,Lagos,Normal,Female,"Fashion accessories",72.84,7,25.49,535.37,2019-02-15,12:44:00,Cash,509.88,4.76,25.49,8.40,Friday,February
228-96-1411,C,Kano,Member,Female,"Food and beverages",98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.60,4.76,39.48,7.60,Monday,March
232-11-3025,A,Abuja,Normal,Male,"Sports and travel",78.77,10,39.39,827.09,2019-01-24,10:04:00,Cash,787.70,4.76,39.39,6.40,Thursday,January
232-16-2483,C,Kano,Member,Female,"Sports and travel",68.12,1,3.41,71.53,2019-01-07,12:28:00,Ewallet,68.12,4.76,3.41,6.80,Monday,January
233-34-0817,C,Kano,Member,Female,"Electronic accessories",98.84,1,4.94,103.78,2019-02-15,11:21:00,Cash,98.84,4.76,4.94,8.40,Friday,February
233-67-5758,C,Kano,Normal,Male,"Health and beauty",40.35,1,2.02,42.37,2019-01-29,13:46:00,Ewallet,40.35,4.76,2.02,6.20,Tuesday,January
234-36-2483,B,Lagos,Normal,Male,"Health and beauty",57.59,6,17.28,362.82,2019-02-15,13:51:00,Cash,345.54,4.76,17.28,5.10,Friday,February
234-65-2137,C,Kano,Normal,Male,"Home and lifestyle",95.58,10,47.79,1003.59,2019-01-16,13:32:00,Cash,955.80,4.76,47.79,4.80,Wednesday,January
235-06-8510,C,Kano,Member,Male,"Home and lifestyle",85.72,3,12.86,270.02,2019-01-24,20:59:00,Ewallet,257.16,4.76,12.86,5.10,Thursday,January
236-27-1144,C,Kano,Normal,Female,"Food and beverages",16.31,9,7.34,154.13,2019-03-26,10:31:00,Ewallet,146.79,4.76,7.34,8.40,Tuesday,March
236-86-3015,C,Kano,Member,Male,"Home and lifestyle",13.98,1,0.70,14.68,2019-02-04,13:38:00,Ewallet,13.98,4.76,0.70,9.80,Monday,February
237-44-6163,A,Abuja,Normal,Male,"Electronic accessories",10.56,8,4.22,88.70,2019-01-24,17:43:00,Cash,84.48,4.76,4.22,7.60,Thursday,January
238-45-6950,B,Lagos,Member,Male,"Food and beverages",53.72,1,2.69,56.41,2019-03-01,20:03:00,Ewallet,53.72,4.76,2.69,6.40,Friday,March
239-10-7476,A,Abuja,Normal,Female,"Home and lifestyle",77.95,6,23.39,491.09,2019-01-21,16:37:00,Ewallet,467.70,4.76,23.39,8.00,Monday,January
239-36-3640,B,Lagos,Normal,Male,"Electronic accessories",45.35,6,13.61,285.71,2019-01-31,13:44:00,Ewallet,272.10,4.76,13.61,6.10,Thursday,January
239-48-4278,A,Abuja,Member,Male,"Food and beverages",10.13,7,3.55,74.46,2019-03-10,19:35:00,Ewallet,70.91,4.76,3.55,8.30,Sunday,March
241-72-9525,B,Lagos,Normal,Male,"Sports and travel",51.91,10,25.96,545.06,2019-02-16,12:21:00,Cash,519.10,4.76,25.96,8.20,Saturday,February
242-11-3142,B,Lagos,Member,Male,"Fashion accessories",83.77,2,8.38,175.92,2019-02-24,19:57:00,Cash,167.54,4.76,8.38,4.60,Sunday,February
242-55-6721,B,Lagos,Normal,Male,"Home and lifestyle",16.16,2,1.62,33.94,2019-03-07,11:49:00,Ewallet,32.32,4.76,1.62,6.50,Thursday,March
243-55-8457,A,Abuja,Normal,Female,"Food and beverages",74.44,10,37.22,781.62,2019-02-27,11:40:00,Ewallet,744.40,4.76,37.22,5.10,Wednesday,February
244-08-0162,B,Lagos,Normal,Female,"Health and beauty",34.21,10,17.11,359.21,2019-01-02,13:00:00,Cash,342.10,4.76,17.11,5.10,Wednesday,January
246-11-3901,C,Kano,Normal,Female,"Electronic accessories",32.8,10,16.40,344.40,2019-02-15,12:12:00,Cash,328.00,4.76,16.40,6.20,Friday,February
249-42-3782,A,Abuja,Normal,Male,"Health and beauty",70.01,5,17.50,367.55,2019-01-03,11:36:00,Ewallet,350.05,4.76,17.50,5.50,Thursday,January
250-17-5703,A,Abuja,Member,Male,"Food and beverages",18.85,10,9.43,197.93,2019-02-27,18:24:00,Ewallet,188.50,4.76,9.43,5.60,Wednesday,February
252-56-2699,A,Abuja,Normal,Male,"Food and beverages",43.19,10,21.60,453.50,2019-02-07,16:48:00,Ewallet,431.90,4.76,21.60,8.20,Thursday,February
256-08-8343,A,Abuja,Normal,Female,"Home and lifestyle",56.53,4,11.31,237.43,2019-03-04,19:48:00,Ewallet,226.12,4.76,11.31,5.50,Monday,March
256-58-3609,C,Kano,Member,Male,"Fashion accessories",91.98,1,4.60,96.58,2019-03-18,15:29:00,Cash,91.98,4.76,4.60,9.80,Monday,March
257-60-7754,A,Abuja,Normal,Female,"Electronic accessories",50.23,4,10.05,210.97,2019-01-08,17:12:00,Cash,200.92,4.76,10.05,9.00,Tuesday,January
257-73-1380,C,Kano,Member,Male,"Sports and travel",82.93,4,16.59,348.31,2019-01-20,16:51:00,Ewallet,331.72,4.76,16.59,9.60,Sunday,January
258-69-7810,C,Kano,Normal,Female,"Fashion accessories",36.85,5,9.21,193.46,2019-01-26,18:53:00,Cash,184.25,4.76,9.21,9.20,Saturday,January
263-87-5680,C,Kano,Member,Female,"Home and lifestyle",28.53,10,14.27,299.57,2019-03-18,17:38:00,Ewallet,285.30,4.76,14.27,7.80,Monday,March
266-20-6657,C,Kano,Member,Male,"Food and beverages",55.04,7,19.26,404.54,2019-03-12,19:39:00,Ewallet,385.28,4.76,19.26,5.20,Tuesday,March
266-76-6436,C,Kano,Member,Female,"Food and beverages",38.6,3,5.79,121.59,2019-03-28,13:57:00,Ewallet,115.80,4.76,5.79,7.50,Thursday,March
267-62-7380,C,Kano,Member,Male,"Electronic accessories",82.34,10,41.17,864.57,2019-03-29,19:12:00,Ewallet,823.40,4.76,41.17,4.30,Friday,March
268-03-6164,B,Lagos,Normal,Male,"Health and beauty",96.11,1,4.81,100.92,2019-01-25,16:28:00,Ewallet,96.11,4.76,4.81,7.80,Friday,January
268-20-3585,C,Kano,Normal,Female,"Health and beauty",13.85,9,6.23,130.88,2019-02-04,12:50:00,Ewallet,124.65,4.76,6.23,6.00,Monday,February
268-27-6179,B,Lagos,Member,Female,"Fashion accessories",56.47,8,22.59,474.35,2019-03-09,14:57:00,Ewallet,451.76,4.76,22.59,7.30,Saturday,March
269-04-5750,B,Lagos,Member,Male,"Fashion accessories",73.82,4,14.76,310.04,2019-02-21,18:31:00,Cash,295.28,4.76,14.76,6.70,Thursday,February
269-10-8440,A,Abuja,Member,Male,"Health and beauty",53.17,7,18.61,390.80,2019-01-21,18:01:00,Cash,372.19,4.76,18.61,8.90,Monday,January
271-77-8740,C,Kano,Member,Female,"Sports and travel",29.22,6,8.77,184.09,2019-01-01,11:40:00,Ewallet,175.32,4.76,8.77,5.00,Tuesday,January
272-27-9238,C,Kano,Normal,Female,"Food and beverages",41.24,4,8.25,173.21,2019-02-19,16:23:00,Cash,164.96,4.76,8.25,7.10,Tuesday,February
272-65-1806,A,Abuja,Normal,Female,"Electronic accessories",60.88,9,27.40,575.32,2019-01-15,17:17:00,Ewallet,547.92,4.76,27.40,4.70,Tuesday,January
273-84-2164,C,Kano,Member,Male,"Electronic accessories",12.05,5,3.01,63.26,2019-02-16,15:53:00,Ewallet,60.25,4.76,3.01,5.50,Saturday,February
274-05-5470,A,Abuja,Member,Female,"Food and beverages",73.47,4,14.69,308.57,2019-02-23,18:30:00,Cash,293.88,4.76,14.69,6.00,Saturday,February
275-28-0149,A,Abuja,Normal,Male,"Sports and travel",63.69,1,3.18,66.87,2019-02-25,16:21:00,Cash,63.69,4.76,3.18,6.00,Monday,February
276-54-0879,B,Lagos,Normal,Male,"Sports and travel",97.74,4,19.55,410.51,2019-03-12,19:53:00,Ewallet,390.96,4.76,19.55,6.40,Tuesday,March
276-75-6884,A,Abuja,Normal,Female,"Health and beauty",68.71,3,10.31,216.44,2019-03-04,10:05:00,Cash,206.13,4.76,10.31,8.70,Monday,March
277-35-5865,C,Kano,Member,Female,"Food and beverages",98.97,9,44.54,935.27,2019-03-09,11:23:00,Cash,890.73,4.76,44.54,6.70,Saturday,March
278-86-2735,A,Abuja,Normal,Female,"Food and beverages",52.34,3,7.85,164.87,2019-03-27,14:03:00,Cash,157.02,4.76,7.85,9.20,Wednesday,March
278-97-7759,A,Abuja,Member,Female,"Electronic accessories",62.48,1,3.12,65.60,2019-02-18,20:29:00,Cash,62.48,4.76,3.12,4.70,Monday,February
279-62-1445,C,Kano,Member,Female,"Fashion accessories",12.54,1,0.63,13.17,2019-02-21,12:38:00,Cash,12.54,4.76,0.63,8.20,Thursday,February
279-74-2924,B,Lagos,Member,Male,"Electronic accessories",72.17,1,3.61,75.78,2019-01-04,19:40:00,Cash,72.17,4.76,3.61,6.10,Friday,January
280-17-4359,C,Kano,Member,Male,"Health and beauty",90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,905.00,4.76,45.25,8.10,Friday,January
280-35-5823,B,Lagos,Member,Female,"Home and lifestyle",86.72,1,4.34,91.06,2019-01-17,18:45:00,Ewallet,86.72,4.76,4.34,7.90,Thursday,January
282-35-2475,B,Lagos,Normal,Female,"Sports and travel",93.31,2,9.33,195.95,2019-03-25,17:53:00,Cash,186.62,4.76,9.33,6.30,Monday,March
283-26-5248,C,Kano,Member,Female,"Food and beverages",98.52,10,49.26,1034.46,2019-01-30,20:23:00,Ewallet,985.20,4.76,49.26,4.50,Wednesday,January
286-01-5402,A,Abuja,Normal,Female,"Sports and travel",40.23,7,14.08,295.69,2019-03-30,13:22:00,Cash,281.61,4.76,14.08,9.60,Saturday,March
286-43-6208,C,Kano,Normal,Female,"Food and beverages",87.8,9,39.51,829.71,2019-03-16,19:08:00,Cash,790.20,4.76,39.51,9.20,Saturday,March
287-21-9091,A,Abuja,Normal,Male,"Home and lifestyle",74.67,9,33.60,705.63,2019-01-22,10:55:00,Ewallet,672.03,4.76,33.60,9.40,Tuesday,January
287-83-1405,A,Abuja,Normal,Male,"Health and beauty",25.43,6,7.63,160.21,2019-02-12,19:01:00,Ewallet,152.58,4.76,7.63,7.00,Tuesday,February
288-38-3758,C,Kano,Member,Female,"Fashion accessories",84.87,3,12.73,267.34,2019-01-25,18:30:00,Ewallet,254.61,4.76,12.73,7.40,Friday,January
288-62-1085,A,Abuja,Member,Male,"Fashion accessories",38.54,5,9.64,202.34,2019-01-09,13:34:00,Ewallet,192.70,4.76,9.64,5.60,Wednesday,January
289-65-5721,B,Lagos,Normal,Female,"Fashion accessories",81.37,2,8.14,170.88,2019-01-26,19:28:00,Cash,162.74,4.76,8.14,6.50,Saturday,January
290-68-2984,A,Abuja,Normal,Male,"Home and lifestyle",23.75,4,4.75,99.75,2019-03-16,11:22:00,Cash,95.00,4.76,4.75,5.20,Saturday,March
